id,poilon,poilat,Taxonomy,cat
8306,-1.3419350000000065,1.6786389999999969,Food,Full-Service Restaurants
8317,-1.0070690000000013,1.5406619999999975,Entertainment,Amusement and Theme Parks
8324,-1.3125979999999942,1.6565420000000017,Food,Full-Service Restaurants
8331,-1.2113769999999988,1.7592160000000021,Food,Full-Service Restaurants
8334,-1.2196500000000015,1.6109289999999987,Arts / Museum,Museums
8345,-1.264056999999994,1.5512990000000002,Food,Full-Service Restaurants
8357,-1.097288000000006,1.7593850000000018,Food,Full-Service Restaurants
8358,-1.3909639999999968,1.8362020000000001,Health,Offices of Dentists
8371,-1.169286999999997,1.542859,Coffee / Tea,Snack and Nonalcoholic Beverage Bars
8376,-1.4557559999999938,1.9422950000000014,Sports,Fitness and Recreational Sports Centers
8391,-1.3370780000000053,1.6335929999999976,Food,Full-Service Restaurants
8393,-1.2638900000000035,1.8058290000000028,Service,Commercial Banking
8398,-1.034942000000001,1.515042000000001,Sports,Fitness and Recreational Sports Centers
